# CSV-File created with merge-csv.com,,,,,,
title, link ,,lat,lon,,
Delphi Public Library,http://www.delphilibrary.org/,IN,39.849426,-86.258278,,
Dunkirk City Public Library,http://www.dunkirk.lib.in.us/,IN,39.849426,-86.258278,,
Earl Park Public Libary,http://www.earlpark.lib.in.us,IN,39.849426,-86.258278,,
Earl Park Public Library,http://www.earlpark.lib.in.us/,IN,39.849426,-86.258278,,
East Chicago Public Library,http://www.ecpl.org/,IN,39.849426,-86.258278,,
Eckhart Public Library,http://www.epl.lib.in.us/,IN,39.849426,-86.258278,,
Edinburgh Public Library,http://www.edinburgh.gov.uk/libraries,IN,39.849426,-86.258278,,
Elkhart Public Library,http://www.myepl.org/epl/,IN,39.849426,-86.258278,,
Evansville Vanderburgh Public Library,http://www.evpl.org/,IN,39.849426,-86.258278,,
Fayette County Public Library,http://www.lexpublib.org,IN,39.849426,-86.258278,,
Flora-Monroe Public Library,http://www.flora.lib.in.us,IN,39.849426,-86.258278,,
Fort Branch-Johnson Township Public Library,http://www.fortbranchlibrary.com/,IN,39.849426,-86.258278,,
Frankfort Community Public Library,http://www.accs.net/fcpl/,IN,39.849426,-86.258278,,
Fulton County Public Library,http://www.fulco.lib.in.us/,IN,39.849426,-86.258278,,
Garrett Public Library,http://www2.youseemore.com/garrett/,IN,39.849426,-86.258278,,
Gary Public Library,http://www.garypubliclibrary.org/,IN,39.849426,-86.258278,,
Geneva Public Library,http://www.genevapl.lib.in.us/,IN,39.849426,-86.258278,,
Goodland-Grant Township Public Library,http://goodland.lib.in.us/,IN,39.849426,-86.258278,,
Goshen Public Library,http://goshenpl.lib.in.us/,IN,39.849426,-86.258278,,
Greensburg Public Library,http://www.greensburglibrary.org/,IN,39.849426,-86.258278,,
Greentown Public Library,http://www.greentownlib.org/,IN,39.849426,-86.258278,,
Greenwood Public Library,http://www.greenwoodlibrary.us/,IN,39.849426,-86.258278,,
Hagerstown-Jefferson Township Public Library,http://hagerstownlibrary.org/,IN,39.849426,-86.258278,,
Hamilton East Public Library,http://www.hepl.lib.in.us/,IN,39.849426,-86.258278,,
Hamilton North Public Library,http://www.hnpl.lib.in.us/,IN,39.849426,-86.258278,,
Hammond Public Library,http://www.hammond.lib.in.us/,IN,39.849426,-86.258278,,
Hancock County Public Library.,http://www.greenfieldpub.lib.in.us/,IN,39.849426,-86.258278,,
Harrison County Public Library,http://www.hcpl.lib.in.us/,IN,39.849426,-86.258278,,
Hartford City Public Library,http://www.hartfordcitylibrary.com/,IN,39.849426,-86.258278,,
Huntington City-Township Public Library,http://www.huntingtonpub.lib.in.us/,IN,39.849426,-86.258278,,
Hussey - Mayfield Memorial Public Library,http://www.zionsville.lib.in.us/hmmpl/page/main,IN,39.849426,-86.258278,,
Indianapolis-Marion County Public Library,http://www.imcpl.org/,IN,39.849426,-86.258278,,
Jackson County Public Library - Indiana,http://www.myjclibrary.org/,IN,39.849426,-86.258278,,
Jasper County Public Library,http://www.jasperco.lib.in.us/,IN,39.849426,-86.258278,,
Jay County Public Library,http://www.jaycpl.lib.in.us/library/default.htm,IN,39.849426,-86.258278,,
Jeffersonville Township Public Library,http://jefferson.lib.in.us/,IN,39.849426,-86.258278,,
Jennings County Public Library,http://www.jenningslib.org/,IN,39.849426,-86.258278,,
Johnson County Public Library - Indiana,http://www.jcplin.org/,IN,39.849426,-86.258278,,
Kendallville Public Library,http://www.kendallvillelibrary.org/,IN,39.849426,-86.258278,,
Kentland-Jefferson Township Public Library,http://kentland.lib.in.us/,IN,39.849426,-86.258278,,
Kirklin Public Library,http://kirklinlibrary.com/,IN,39.849426,-86.258278,,
Knox County Public Library,http://www.kcpl.lib.in.us/kclib/,IN,39.849426,-86.258278,,
Kokomo - Howard County Public Library,http://www.kokomo.lib.in.us/site/,IN,39.849426,-86.258278,,
LaGrange County Library,http://www.lagrange.lib.in.us/,IN,39.849426,-86.258278,,
Lake County Public Library,http://www.lcplin.org/,IN,39.849426,-86.258278,,
Lawrenceburg Public Library,http://www.lpld.lib.in.us/,IN,39.849426,-86.258278,,
Lebanon Public Library,http://www.bccn.boone.in.us/LPL/,IN,39.849426,-86.258278,,
Ligonier Public Library,http://www.ligonier.lib.in.us/,IN,39.849426,-86.258278,,
Lincoln Heritage Public Library,http://www.lincolnheritage.lib.in.us/,IN,39.849426,-86.258278,,
Lowell Public Library,http://www.lowellpl.lib.in.us/,IN,39.849426,-86.258278,,
Lpcpls La Porte County Public Library System,http://www.laportelibrary.org/,IN,39.849426,-86.258278,,
Madison - Jefferson County Public Library,http://mjcpl.org/,IN,39.849426,-86.258278,,
Michigan City Public Library,http://www.mclib.org/,IN,39.849426,-86.258278,,
Michigan Road Community Library,http://fcpl.accs.net/mich.htm,IN,39.849426,-86.258278,,
Middlebury Community Library,http://www.mdy.lib.in.us/middlebury/Default.asp,IN,39.849426,-86.258278,,
